alpha,beta,correct,unsure,total,accuracy
1.0,0.15,18,0,18,1.0
1.0,0.2,17,0,18,0.9444444444444444
1.0,0.25,17,0,18,0.9444444444444444
1.0,0.5,16,0,18,0.8888888888888888
1.0,1.0,16,0,18,0.8888888888888888
1.0,2.0,16,0,18,0.8888888888888888
1.0,5.0,16,0,18,0.8888888888888888
1.0,7.5,16,0,18,0.8888888888888888
1.0,10.0,16,0,18,0.8888888888888888
1.0,12.5,16,0,18,0.8888888888888888
1.0,15.0,16,0,18,0.8888888888888888
2.0,0.0,18,0,18,1.0
2.0,0.01,18,0,18,1.0
2.0,0.05,18,0,18,1.0
2.0,0.1,18,0,18,1.0
2.0,0.15,18,0,18,1.0
2.0,0.2,18,0,18,1.0
2.0,0.25,18,0,18,1.0
2.0,0.5,17,0,18,0.9444444444444444
2.0,1.0,16,0,18,0.8888888888888888
2.0,2.0,16,0,18,0.8888888888888888
2.0,5.0,16,0,18,0.8888888888888888
2.0,7.5,16,0,18,0.8888888888888888
2.0,10.0,16,0,18,0.8888888888888888
2.0,12.5,16,0,18,0.8888888888888888
2.0,15.0,16,0,18,0.8888888888888888
5.0,0.0,18,0,18,1.0
5.0,0.01,18,0,18,1.0
5.0,0.05,18,0,18,1.0
5.0,0.1,18,0,18,1.0
5.0,0.15,18,0,18,1.0
5.0,0.2,18,0,18,1.0
5.0,0.25,18,0,18,1.0
5.0,0.5,18,0,18,1.0
5.0,1.0,17,0,18,0.9444444444444444
5.0,2.0,16,0,18,0.8888888888888888
5.0,5.0,16,0,18,0.8888888888888888
5.0,7.5,16,0,18,0.8888888888888888
5.0,10.0,16,0,18,0.8888888888888888
5.0,12.5,16,0,18,0.8888888888888888
5.0,15.0,16,0,18,0.8888888888888888
7.5,0.0,18,0,18,1.0
7.5,0.01,18,0,18,1.0
7.5,0.05,18,0,18,1.0
7.5,0.1,18,0,18,1.0
7.5,0.15,18,0,18,1.0
7.5,0.2,18,0,18,1.0
7.5,0.25,18,0,18,1.0
7.5,0.5,18,0,18,1.0
7.5,1.0,18,0,18,1.0
7.5,2.0,17,0,18,0.9444444444444444
7.5,5.0,16,0,18,0.8888888888888888
7.5,7.5,16,0,18,0.8888888888888888
7.5,10.0,16,0,18,0.8888888888888888
7.5,12.5,16,0,18,0.8888888888888888
7.5,15.0,16,0,18,0.8888888888888888
10.0,0.0,18,0,18,1.0
10.0,0.01,18,0,18,1.0
10.0,0.05,18,0,18,1.0
10.0,0.1,18,0,18,1.0
10.0,0.15,18,0,18,1.0
10.0,0.2,18,0,18,1.0
10.0,0.25,18,0,18,1.0
10.0,0.5,18,0,18,1.0
10.0,1.0,18,0,18,1.0
10.0,2.0,17,0,18,0.9444444444444444
10.0,5.0,16,0,18,0.8888888888888888
10.0,7.5,16,0,18,0.8888888888888888
10.0,10.0,16,0,18,0.8888888888888888
10.0,12.5,16,0,18,0.8888888888888888
10.0,15.0,16,0,18,0.8888888888888888
15.0,0.0,18,0,18,1.0
15.0,0.01,18,0,18,1.0
15.0,0.05,18,0,18,1.0
15.0,0.1,18,0,18,1.0
15.0,0.15,18,0,18,1.0
15.0,0.2,18,0,18,1.0
15.0,0.25,18,0,18,1.0
15.0,0.5,18,0,18,1.0
15.0,1.0,18,0,18,1.0
15.0,2.0,18,0,18,1.0
15.0,5.0,17,0,18,0.9444444444444444
15.0,7.5,16,0,18,0.8888888888888888
15.0,10.0,16,0,18,0.8888888888888888
15.0,12.5,16,0,18,0.8888888888888888
15.0,15.0,16,0,18,0.8888888888888888
20.0,0.0,18,0,18,1.0
20.0,0.01,18,0,18,1.0
20.0,0.05,18,0,18,1.0
20.0,0.1,18,0,18,1.0
20.0,0.15,18,0,18,1.0
20.0,0.2,18,0,18,1.0
20.0,0.25,18,0,18,1.0
20.0,0.5,18,0,18,1.0
20.0,1.0,18,0,18,1.0
20.0,2.0,18,0,18,1.0
20.0,5.0,17,0,18,0.9444444444444444
20.0,7.5,17,0,18,0.9444444444444444
20.0,10.0,16,0,18,0.8888888888888888
20.0,12.5,16,0,18,0.8888888888888888
20.0,15.0,16,0,18,0.8888888888888888
